,Dalc,Fedu,Fjob,G1,G2,G3,Medu,Mjob,Pstatus,Walc,absences,activities,address,age,failures,famrel,famsize,famsup,freetime,goout,guardian,health,higher,internet,nursery,paid,reason,romantic,school,schoolsup,sex,studytime,traveltime
0,1,4,teacher,5,6,6,4,at_home,A,1,6,no,U,18,0,4,GT3,no,3,4,mother,3,yes,no,yes,no,course,no,GP,yes,F,2,2
1,1,1,other,5,5,6,1,at_home,T,1,4,no,U,17,0,5,GT3,yes,3,3,father,3,yes,yes,no,no,course,no,GP,no,F,2,1
2,2,1,other,7,8,10,1,at_home,T,3,10,no,U,15,3,4,LE3,no,3,2,mother,3,yes,yes,yes,yes,other,no,GP,yes,F,2,1
3,1,2,services,15,14,15,4,health,T,1,2,yes,U,15,0,3,GT3,yes,2,2,mother,5,yes,yes,yes,yes,home,yes,GP,no,F,3,1
4,1,3,other,6,10,10,3,other,T,2,4,no,U,16,0,4,GT3,yes,3,2,father,5,yes,no,yes,yes,home,no,GP,no,F,2,1
5,1,3,other,15,15,15,4,services,T,2,10,yes,U,16,0,5,LE3,yes,4,2,mother,5,yes,yes,yes,yes,reputation,no,GP,no,M,2,1
6,1,2,other,12,12,11,2,other,T,1,0,no,U,16,0,4,LE3,no,4,4,mother,3,yes,yes,yes,no,home,no,GP,no,M,2,1
7,1,4,teacher,6,5,6,4,other,A,1,6,no,U,17,0,4,GT3,yes,1,4,mother,1,yes,no,yes,no,home,no,GP,yes,F,2,2
8,1,2,other,16,18,19,3,services,A,1,0,no,U,15,0,4,LE3,yes,2,2,mother,1,yes,yes,yes,yes,home,no,GP,no,M,2,1
9,1,4,other,14,15,15,3,other,T,1,0,yes,U,15,0,5,GT3,yes,5,1,mother,5,yes,yes,yes,yes,home,no,GP,no,M,2,1
10,1,4,health,10,8,9,4,teacher,T,2,0,no,U,15,0,3,GT3,yes,3,3,mother,2,yes,yes,yes,yes,reputation,no,GP,no,F,2,1
11,1,1,other,10,12,12,2,services,T,1,4,yes,U,15,0,5,GT3,yes,2,2,father,4,yes,yes,yes,no,reputation,no,GP,no,F,3,3
12,1,4,services,14,14,14,4,health,T,3,2,yes,U,15,0,4,LE3,yes,3,3,father,5,yes,yes,yes,yes,course,no,GP,no,M,1,1
13,1,3,other,10,10,11,4,teacher,T,2,2,no,U,15,0,5,GT3,yes,4,3,mother,3,yes,yes,yes,yes,course,no,GP,no,M,2,2
14,1,2,other,14,16,16,2,other,A,1,0,no,U,15,0,4,GT3,yes,5,2,other,3,yes,yes,yes,no,home,yes,GP,no,M,3,1
15,1,4,other,14,14,14,4,health,T,2,4,no,U,16,0,4,GT3,yes,4,4,mother,2,yes,yes,yes,no,home,no,GP,no,F,1,1
16,1,4,services,13,14,14,4,services,T,2,6,yes,U,16,0,3,GT3,yes,2,3,mother,2,yes,yes,yes,yes,reputation,no,GP,no,F,3,1
17,1,3,other,8,10,10,3,other,T,1,4,yes,U,16,0,5,GT3,yes,3,2,mother,4,yes,no,yes,no,reputation,no,GP,yes,F,2,3
18,2,2,services,6,5,5,3,services,T,4,16,yes,U,17,3,5,GT3,yes,5,5,mother,5,yes,yes,yes,no,course,no,GP,no,M,1,1
19,1,3,other,8,10,10,4,health,T,3,4,yes,U,16,0,3,LE3,no,1,3,father,5,yes,yes,yes,yes,home,no,GP,no,M,1,1
20,1,3,other,13,14,15,4,teacher,T,1,0,no,U,15,0,4,GT3,no,4,1,mother,1,yes,yes,yes,no,reputation,no,GP,no,M,2,1
21,1,4,health,12,15,15,4,health,T,1,0,no,U,15,0,5,GT3,yes,4,2,father,5,yes,yes,yes,yes,other,no,GP,no,M,1,1
